gene_name	gene_id	#ofalleles
PRAMEF11	440560	2
LOC649330	649330	2
HNRNPCL1	343069	2
PRAMEF2	65122	2
PRAMEF4	400735	2
PRAMEF9	343070	2
HNRNPCL2	440563	2
PRAMEF16	654348	2
LRRC38	126755	2
PDPN	10630	2
PDPN	10630	2
PRDM2	7799	2
PRDM2	7799	2
PRDM2	7799	2
KAZN	23254	2
KAZN	23254	2
KAZN	23254	2
KAZN	23254	2
TMEM51-AS1	200197	2
TMEM51	55092	2
TMEM51	55092	2
C1orf195	727684	2
FHAD1	114827	2
EFHD2	79180	2
CTRC	11330	2
CELA2A	63036	2
CELA2B	51032	2
CASP9	842	2
CASP9	842	2
DNAJC16	23341	2
AGMAT	79814	2
DDI2	84301	2
RSC1A1	6248	2
PLEKHM2	23207	2
SLC25A34	284723	2
TMEM82	388595	2
FBLIM1	54751	2
FBLIM1	54751	2
FBLIM1	54751	2
UQCRHL	440567	2
SPEN	23013	2
FLJ37453	729614	2
ZBTB17	7709	2
C1orf64	149563	2
HSPB7	27129	2
CLCNKA	1187	2
CLCNKB	1188	2
CLCNKB	1188	2
FAM131C	348487	2
EPHA2	1969	2
ARHGEF19	128272	2
RSG1	79363	2
FBXO42	54455	2
SZRD1	26099	2
SPATA21	374955	2
NECAP2	55707	2
CROCCP3	114819	2
NBPF1	55672	2
CROCCP2	84809	2
MST1P2	11209	2
ESPNP	284729	2
MST1L	11223	2
CROCC	9696	2
MFAP2	4237	2
MFAP2	4237	2
ATP13A2	23400	2
SDHB	6390	2
PADI2	11240	2
PADI1	29943	2
PADI3	51702	2
PADI4	23569	2
PADI6	353238	2
RCC2	55920	2
RCC2	55920	2
ARHGEF10L	55160	2
ARHGEF10L	55160	2
ACTL8	81569	2
IGSF21	84966	2
KLHDC7A	127707	2
PAX7	5081	2
TAS1R2	80834	2
ALDH4A1	8659	2
ALDH4A1	8659	2
IFFO2	126917	2
UBR4	23352	2
EMC1	23065	2
MRTO4	51154	2
AKR7L	246181	2
AKR7A3	22977	2
LOC100506730	100506730	2
AKR7A2	8574	2
PQLC2	54896	2
CAPZB	832	2
CAPZB	832	2
MINOS1	440574	2
RPS14P3	644068	2
NBL1	4681	2
NBL1	4681	2
NBL1	4681	2
NBL1	4681	2
NBL1	4681	2
NBL1	4681	2
NBL1	4681	2
HTR6	3362	2
TMCO4	255104	2
RNF186	54546	2
OTUD3	23252	2
PLA2G2E	30814	2
PLA2G2A	5320	2
PLA2G2A	5320	2
PLA2G5	5322	2
PLA2G2D	26279	2
PLA2G2F	64600	2
PLA2G2C	391013	2
UBXN10	127733	2
UBXN10-AS1	101928017	2
VWA5B1	127731	2
LINC01141	339505	2
CAMK2N1	55450	2
MUL1	79594	2
FAM43B	163933	2
CDA	978	2
PINK1	65018	2
PINK1-AS	100861548	2
DDOST	1650	2
KIF17	57576	2
SH2D5	400745	2
HP1BP3	50809	2
EIF4G3	8672	2
EIF4G3	8672	2
EIF4G3	8672	2
ECE1	1889	2
ECE1	1889	2
ECE1	1889	2
LOC100506801	100506801	2
ECE1	1889	2
NBPF3	84224	2
ALPL	249	2
RAP1GAP	5909	2
RAP1GAP	5909	2
USP48	84196	2
LDLRAD2	401944	2
HSPG2	3339	2
CELA3B	23436	2
CELA3A	10136	2
LINC00339	29092	2
LINC00339	29092	2
LOC101928043	101928043	2
CDC42	998	2
WNT4	54361	2
ZBTB40	9923	2
EPHA8	2046	2
C1QA	712	2
C1QC	714	2
C1QB	713	2
EPHB2	2048	2
LACTBL1	646262	2
C1orf234	729059	2
KDM1A	23028	2
LUZP1	7798	2
HTR1D	3352	2
LINC01355	100996511	2
HNRNPR	10236	2
ZNF436	80818	2
C1orf213	148898	2
C1orf213	148898	2
ZNF436	80818	2
TCEA3	6920	2
ASAP3	55616	2
LOC101928163	101928163	2
E2F2	1870	2
ID3	3399	2
MDS2	259283	2
RPL11	6135	2
TCEB3	6924	2
TCEB3-AS1	100506963	2
PITHD1	57095	2
LYPLA2	11313	2
GALE	2582	2
GALE	2582	2
GALE	2582	2
HMGCL	3155	2
FUCA1	2517	2
CNR2	1269	2
PNRC2	55629	2
MYOM3	127294	2
IL22RA1	58985	2
IFNLR1	163702	2
LOC284632	284632	2
GRHL3	57822	2
GRHL3	57822	2
GRHL3	57822	2
STPG1	90529	2
STPG1	90529	2
NIPAL3	57185	2
RCAN3	11123	2
RCAN3AS	100750325	2
RCAN3	11123	2
RCAN3	11123	2
RCAN3	11123	2
LOC100506985	100506985	2
NCMAP	400746	2
SRRM1	10250	2
CLIC4	25932	2
RUNX3	864	2
RUNX3	864	2
SYF2	25949	2
RSRP1	57035	2
RHD	6007	2
TMEM50A	23585	2
RHCE	6006	2
TMEM57	55219	2
LDLRAP1	26119	2
MAN1C1	57134	2
SEPN1	57190	2
MTFR1L	56181	2
MTFR1L	56181	2
MTFR1L	56181	2
LOC646471	646471	2
AUNIP	79000	2
PAQR7	164091	2
STMN1	3925	2
STMN1	3925	2
STMN1	3925	2
PAFAH2	5051	2
EXTL1	2134	2
SLC30A2	7780	2
TRIM63	84676	2
PDIK1L	149420	2
PDIK1L	149420	2
FAM110D	79927	2
ZNF593	51042	2
CNKSR1	10256	2
CNKSR1	10256	2
CATSPER4	378807	2
LOC101928303	101928303	2
CEP85	64793	2
CEP85	64793	2
SH3BGRL3	83442	2
UBXN11	91544	2
CD52	1043	2
UBXN11	91544	2
AIM1L	55057	2
ZNF683	257101	2
LIN28A	79727	2
DHDDS	79947	2
HMGN2	3151	2
RPS6KA1	6195	2
RPS6KA1	6195	2
ARID1A	8289	2
PIGV	55650	2
PIGV	55650	2
ZDHHC18	84243	2
SFN	2810	2
GPN2	54707	2
GPATCH3	63906	2
NR0B2	8431	2
NUDC	10726	2
KDF1	126695	2
TRNP1	388610	2
FAM46B	115572	2
SLC9A1	6548	2
WDTC1	23038	2
TMEM222	84065	2
LOC644961	644961	2
SYTL1	84958	2
MAP3K6	9064	2
FCN3	8547	2
CD164L2	388611	2
GPR3	2827	2
WASF2	10163	2
AHDC1	27245	2
FGR	2268	2
FGR	2268	2
FGR	2268	2
IFI6	2537	2
FAM76A	199870	2
STX12	23673	2
PPP1R8	5511	2
PPP1R8	5511	2
SCARNA1	677774	2
THEMIS2	9473	2
RPA2	6118	2
SMPDL3B	27293	2
XKR8	55113	2
EYA3	2140	2
PTAFR	5724	2
PTAFR	5724	2
DNAJC8	22826	2
ATPIF1	93974	2
SESN2	83667	2
MED18	54797	2
PHACTR4	65979	2
PHACTR4	65979	2
RCC1	1104	2
RCC1	1104	2
TRNAU1AP	54952	2
SNHG12	85028	2
RAB42	115273	2
RAB42	115273	2
TAF12	6883	2
RNU11	26824	2
GMEB1	10691	2
YTHDF2	51441	2
YTHDF2	51441	2
YTHDF2	51441	2
OPRD1	4985	2
EPB41	2035	2
EPB41	2035	2
TMEM200B	399474	2
TMEM200B	399474	2
SRSF4	6429	2
MECR	51102	2
PTPRU	10076	2
LOC101928460	101928460	2
LOC101929406	101929406	2
MATN1-AS1	100129196	2
MATN1	4146	2
LAPTM5	7805	2
SDC3	9672	2
PUM1	9698	2
NKAIN1	79570	2
SNRNP40	9410	2
ZCCHC17	51538	2
FABP3	2170	2
SERINC2	347735	2
SERINC2	347735	2
SERINC2	347735	2
SERINC2	347735	2
LINC01225	149086	2
LINC01226	284551	2
TINAGL1	64129	2
TINAGL1	64129	2
HCRTR1	3061	2
PEF1	553115	2
PEF1	553115	2
COL16A1	1307	2
BAI2	576	2
BAI2	576	2
SPOCD1	90853	2
PTP4A2	8073	2
PTP4A2	8073	2
KHDRBS1	10657	2
TMEM39B	55116	2
KPNA6	23633	2
TXLNA	200081	2
CCDC28B	79140	2
IQCC	55721	2
DCDC2B	149069	2
TMEM234	56063	2
EIF3I	8668	2
MTMR9LP	339483	2
FAM167B	84734	2
LCK	3932	2
LCK	3932	2
HDAC1	3065	2
MARCKSL1	65108	2
FAM229A	100128071	2
TSSK3	81629	2
BSDC1	55108	2
ZBTB8B	728116	2
ZBTB8A	653121	2
ZBTB8OS	339487	2
RBBP4	5928	2
RBBP4	5928	2
SYNC	81493	2
KIAA1522	57648	2
KIAA1522	57648	2
S100PBP	64766	2
S100PBP	64766	2
YARS	8565	2
FNDC5	252995	2
FNDC5	252995	2
HPCA	3208	2
TMEM54	113452	2
RNF19B	127544	2
AK2	204	2
AZIN2	113451	2
TRIM62	55223	2
ZNF362	149076	2
A3GALT2	127550	2
PHC2	1912	2
PHC2	1912	2
ZSCAN20	7579	2
HMGB4	127540	2
HMGB4	127540	2
CSMD2-AS1	402779	2
CSMD2	114784	2
CSMD2	114784	2
C1orf94	84970	2
C1orf94	84970	2
GJB5	2709	2
GJB4	127534	2
GJB3	2707	2
GJB3	2707	2
GJA4	2701	2
SMIM12	113444	2
SMIM12	113444	2
SMIM12	113444	2
DLGAP3	58512	2
LOC653160	653160	2
ZMYM6NB	100506144	2
ZMYM6	9204	2
ZMYM1	79830	2
ZMYM1	79830	2
SFPQ	6421	2
ZMYM4	9202	2
KIAA0319L	79932	2
NCDN	23154	2
TFAP2E	339488	2
PSMB2	5690	2
PSMB2	5690	2
PSMB2	5690	2
C1orf216	127703	2
CLSPN	63967	2
AGO4	192670	2
AGO1	26523	2
AGO3	192669	2
TEKT2	27285	2
ADPRHL2	54936	2
COL8A2	1296	2
TRAPPC3	27095	2
MAP7D1	55700	2
TRAPPC3	27095	2
THRAP3	9967	2
SH3D21	79729	2
SH3D21	79729	2
EVA1B	55194	2
STK40	83931	2
LSM10	84967	2
OSCP1	127700	2
MRPS15	64960	2
CSF3R	1441	2
GRIK3	2899	2
LINC01137	728431	2
ZC3H12A	80149	2
MEAF6	64769	2
SNIP1	79753	2
DNALI1	7802	2
GNL2	29889	2
RSPO1	284654	2
C1orf109	54955	2
CDCA8	55143	2
EPHA10	284656	2
MANEAL	149175	2
MANEAL	149175	2
C1orf122	127687	2
YRDC	79693	2
MTF1	4520	2
INPP5B	3633	2
INPP5B	3633	2
SF3A3	10946	2
FHL3	2275	2
UTP11L	51118	2
POU3F1	5453	2
LINC01343	339442	2
RRAGC	64121	2
MYCBP	26292	2
GJA9	81025	2
RHBDL2	54933	2
AKIRIN1	79647	2
NDUFS5	4725	2
MACF1	23499	2
KIAA0754	643314	2
BMP8A	353500	2
PPIEL	728448	2
PABPC4	8761	2
HEYL	26508	2
NT5C1A	84618	2
HPCAL4	51440	2
HPCAL4	51440	2
PPIE	10450	2
OXCT2	64064	2
BMP8B	656	2
TRIT1	54802	2
MYCL	4610	2
MFSD2A	84879	2
CAP1	10487	2
PPT1	5538	2
RLF	6018	2
TMCO2	127391	2
ZMPSTE24	10269	2
COL9A2	1298	2
SMAP2	64744	2
SMAP2	64744	2
SMAP2	64744	2
SMAP2	64744	2
ZFP69B	65243	2
ZFP69	339559	2
EXO5	64789	2
ZNF684	127396	2
RIMS3	9783	2
NFYC	4802	2
NFYC	4802	2
NFYC-AS1	100130557	2
KCNQ4	9132	2
CITED4	163732	2
CTPS1	1503	2
SLFNL1-AS1	100507178	2
SLFNL1	200172	2
SLFNL1	200172	2
SCMH1	22955	2
SCMH1	22955	2
SCMH1	22955	2
SCMH1	22955	2
FOXO6	100132074	2
EDN2	1907	2
HIVEP3	59269	2
HIVEP3	59269	2
HIVEP3	59269	2
GUCA2B	2981	2
GUCA2A	2980	2
FOXJ3	22887	2
FOXJ3	22887	2
FOXJ3	22887	2
FOXJ3	22887	2
RIMKLA	284716	2
ZMYND12	84217	2
PPCS	79717	2
PPCS	79717	2
CCDC30	728621	2
PPIH	10465	2
YBX1	4904	2
CLDN19	149461	2
LEPRE1	64175	2
C1orf50	79078	2
LOC100129924	100129924	2
ERMAP	114625	2
CCDC23	374969	2
ERMAP	114625	2
ZNF691	51058	2
LOC339539	339539	2
SLC2A1-AS1	440584	2
SLC2A1	6513	2
FAM183A	440585	2
EBNA1BP2	10969	2
WDR65	149465	2
EBNA1BP2	10969	2
TMEM125	128218	2
C1orf210	149466	2
C1orf210	149466	2
TIE1	7075	2
MPL	4352	2
CDC20	991	2
ELOVL1	64834	2
ELOVL1	64834	2
MED8	112950	2
SZT2	23334	2
HYI	81888	2
PTPRF	5792	2
KDM4A	9682	2
KDM4A-AS1	100132774	2
ST3GAL3	6487	2
ARTN	9048	2
IPO13	9670	2
DPH2	1802	2
ATP6V0B	533	2
B4GALT2	8704	2
B4GALT2	8704	2
B4GALT2	8704	2
CCDC24	149473	2
SLC6A9	6536	2
SLC6A9	6536	2
KLF17	128209	2
DMAP1	55929	2
ERI3-IT1	100874278	2
ERI3	79033	2
RNF220	55182	2
TMEM53	79639	2
C1orf228	339541	2
KIF2C	11004	2
RPS8	6202	2
BEST4	266675	2
PLK3	1263	2
TCTEX1D4	343521	2
BTBD19	149478	2
PTCH2	8643	2
EIF2B3	8891	2
HECTD3	79654	2
UROD	7389	2
ZSWIM5	57643	2
LINC01144	400752	2
HPDL	84842	2
TOE1	114034	2
MUTYH	4595	2
MUTYH	4595	2
MUTYH	4595	2
MUTYH	4595	2
TESK2	10420	2
CCDC163P	126661	2
MMACHC	25974	2
PRDX1	5052	2
PRDX1	5052	2
AKR1A1	10327	2
NASP	4678	2
CCDC17	149483	2
RPS15AP10	728963	2
GPBP1L1	60313	2
TMEM69	51249	2
IPP	3652	2
MAST2	23139	2
PIK3R3	8503	2
PIK3R3	8503	2
TSPAN1	10103	2
POMGNT1	55624	2
POMGNT1	55624	2
LURAP1	541468	2
POMGNT1	55624	2
RAD54L	8438	2
LRRC41	10489	2
UQCRH	7388	2
NSUN4	387338	2
NSUN4	387338	2
FAAH	2166	2
FAAHP1	729041	2
LINC01398	101929651	2
DMBX1	127343	2
MKNK1-AS1	100507423	2
KNCN	148930	2
MKNK1	8569	2
MOB3C	148932	2
MOB3C	148932	2
ATPAF1	64756	2
ATPAF1	64756	2
TEX38	374973	2
EFCAB14-AS1	100130197	2
EFCAB14	9813	2
CYP4B1	1580	2
CYP4Z2P	163720	2
CYP4A11	1579	2
CYP4X1	260293	2
CYP4Z1	199974	2
CYP4A22	284541	2
LINC00853	100874253	2
PDZK1IP1	10158	2
TAL1	6886	2
TAL1	6886	2
TAL1	6886	2
STIL	6491	2
CMPK1	51727	2
FOXE3	2301	2
FOXD2-AS1	84793	2
FOXD2	2306	2
TRABD2B	388630	2
SKINTL	391037	2
SLC5A9	200010	2
SPATA6	54558	2
BEND5	79656	2
AGBL4-IT1	100874313	2
AGBL4	84871	2
ELAVL4	1996	2
ELAVL4	1996	2
ELAVL4	1996	2
ELAVL4	1996	2
ELAVL4	1996	2
DMRTA2	63950	2
FAF1	11124	2
CDKN2C	1031	2
CDKN2C	1031	2
C1orf185	284546	2
RNF11	26994	2
TTC39A	22996	2
TTC39A	22996	2
EPS15	2060	2
EPS15	2060	2
OSBPL9	114883	2
OSBPL9	114883	2
NRD1	4898	2
NRD1	4898	2
RAB3B	5865	2
KTI12	112970	2
TXNDC12	51060	2
BTF3L4	91408	2
ZFYVE9	9372	2
CC2D1B	200014	2
ORC1	4998	2
PRPF38A	84950	2
ZCCHC11	23318	2
GPX7	2882	2
FAM159A	348378	2
COA7	65260	2
ZYG11B	79699	2
ZYG11A	440590	2
ECHDC2	55268	2
SCP2	6342	2
SCP2	6342	2
PODN	127435	2
PODN	127435	2
SLC1A7	6512	2
CPT2	1376	2
C1orf123	54987	2
MAGOH	4116	2
LRP8	7804	2
SLC25A3P1	163742	2
DMRTB1	63948	2
GLIS1	148979	2
NDC1	55706	2
YIPF1	54432	2
DIO1	1733	2
HSPB11	51668	2
LRRC42	115353	2
LDLRAD1	388633	2
TMEM59	9528	2
TCEANC2	127428	2
CDCP2	200008	2
CYB5RL	606495	2
MRPL37	51253	2
SSBP3-AS1	619518	2
SSBP3	23648	2
ACOT11	26027	2
FAM151A	338094	2
MROH7-TTC4	100527960	2
TTC4	7268	2
PARS2	25973	2
TTC22	55001	2
C1orf177	163747	2
DHCR24	1718	2
TMEM61	199964	2
BSND	7809	2
PCSK9	255738	2
PCSK9	255738	2
USP24	23358	2
LOC100507634	100507634	2
PPAP2B	8613	2
PRKAA2	5563	2
C1orf168	199920	2
C8A	731	2
C8B	732	2
DAB1-AS1	101926890	2
DAB1	1600	2
OMA1	115209	2
TACSTD2	4070	2
MYSM1	114803	2
JUN	3725	2
LINC01135	100131060	2
LINC01358	101926925	2
HSD52	729467	2
FGGY	55277	2
FGGY	55277	2
FGGY	55277	2
FGGY	55277	2
LOC101926944	101926944	2
HOOK1	51361	2
CYP2J2	1573	2
C1orf87	127795	2
LOC101926964	101926964	2
NFIA-AS2	100996570	2
NFIA	4774	2
NFIA	4774	2
NFIA	4774	2
NFIA-AS1	645030	2
MGC34796	414927	2
TM2D1	83941	2
INADL	10207	2
L1TD1	54596	2
KANK4	163782	2
USP1	7398	2
USP1	7398	2
ANGPTL3	27329	2
DOCK7	85440	2
ATG4C	84938	2
LINC00466	199899	2
FOXD3-AS1	100996301	2
FOXD3	27022	2
FOXD3-AS1	100996301	2
FOXD3-AS1	100996301	2
ALG6	29929	2
ITGB3BP	23421	2
EFCAB7	84455	2
DLEU2L	79469	2
PGM1	5236	2
PGM1	5236	2
PGM1	5236	2
ROR1	4919	2
ROR1-AS1	101927034	2
ROR1-AS1	101927034	2
UBE2U	148581	2
CACHD1	57685	2
CACHD1	57685	2
RAVER2	55225	2
JAK1	3716	2
LINC01359	101927084	2
AK4	205	2
AK4	205	2
AK4	205	2
DNAJC6	9829	2
DNAJC6	9829	2
LEPROT	54741	2
LEPR	3953	2
LEPROT	54741	2
LEPR	3953	2
PDE4B	5142	2
PDE4B	5142	2
PDE4B	5142	2
PDE4B	5142	2
LOC101927139	101927139	2
PDE4B	5142	2
PDE4B	5142	2
SGIP1	84251	2
TCTEX1D1	200132	2
INSL5	10022	2
WDR78	79819	2
MIER1	57708	2
MIER1	57708	2
SLC35D1	23169	2
C1orf141	400757	2
IL23R	149233	2
IL12RB2	3595	2
SERBP1	26135	2
GADD45A	1647	2
GNG12-AS1	100289178	2
GNG12	55970	2
DIRAS3	9077	2
WLS	79971	2
WLS	79971	2
RPE65	6121	2
DEPDC1-AS1	101927220	2
DEPDC1	55635	2
LRRC7	57554	2
PIN1P1	5301	2
LRRC40	55631	2
SRSF11	9295	2
ANKRD13C	81573	2
HHLA3	11147	2
CTH	1491	2
ZRANB2-AS1	100132618	2
PTGER3	5733	2
ZRANB2	9406	2
ZRANB2-AS2	100852410	2
NEGR1-IT1	100852409	2
NEGR1	257194	2
LINC01360	101927295	2
LRRIQ3	127255	2
FPGT-TNNI3K	100526835	2
TNNI3K	51086	2
ERICH3-AS1	101927320	2
ERICH3-AS1	101927320	2
ERICH3	127254	2
TYW3	127253	2
TYW3	127253	2
TYW3	127253	2
CRYZ	1429	2
LHX8	431707	2
LHX8	431707	2
SLC44A5	204962	2
ACADM	34	2
RABGGTB	5876	2
MSH4	4438	2
ASB17	127247	2
ST6GALNAC3	256435	2
ST6GALNAC5	81849	2
PIGK	10026	2
AK5	26289	2
AK5	26289	2
ZZZ3	26009	2
USP33	23032	2
FAM73A	374986	2
NEXN	91624	2
NEXN-AS1	374987	2
FUBP1	8880	2
DNAJB4	11080	2
GIPC2	54810	2
MGC27382	149047	2
PTGFR	5737	2
IFI44L	10964	2
IFI44	10561	2
ELTD1	64123	2
LPHN2	23266	2
LINC01361	101927498	2
LINC01361	101927498	2
LOC101927560	101927560	2
LOC101927587	101927587	2
TTLL7	79739	2
PRKACB	5567	2
PRKACB	5567	2
PRKACB	5567	2
PRKACB	5567	2
PRKACB	5567	2
SAMD13	148418	2
SAMD13	148418	2
SAMD13	148418	2
UOX	391051	2
DNASE2B	58511	2
DNASE2B	58511	2
RPF1	80135	2
GNG5	2787	2
CTBS	1486	2
C1orf180	439927	2
SSX2IP	117178	2
SSX2IP	117178	2
LPAR3	23566	2
MCOLN2	255231	2
MCOLN3	55283	2
WDR63	126820	2
SYDE2	84144	2
C1orf52	148423	2
LOC646626	646626	2
BCL10	8915	2
DDAH1	23576	2
DDAH1	23576	2
CYR61	3491	2
ZNHIT6	54680	2
COL24A1	255631	2
ODF2L	57489	2
CLCA2	9635	2
CLCA1	1179	2
CLCA4	22802	2
CLCA3P	9629	2
SH3GLB1	51100	2
SEP15	9403	2
HS2ST1	9653	2
LINC01140	339524	2
LINC01140	339524	2
LOC101927844	101927844	2
LMO4	8543	2
LINC01364	100505768	2
PKN2	5586	2
PKN2-AS1	101927891	2
GTF2B	2959	2
RBMXL1	494115	2
GBP3	2635	2
GBP1	2633	2
GBP2	2634	2
GBP7	388646	2
GBP4	115361	2
GBP5	115362	2
LOC729930	729930	2
GBP6	163351	2
GBP1P1	400759	2
LRRC8B	23507	2
LRRC8B	23507	2
FLJ27354	400761	2
LRRC8C	84230	2
LRRC8D	55144	2
LRRC8D	55144	2
GEMIN8P4	492303	2
ZNF326	284695	2
BARHL2	343472	2
ZNF644	84146	2
ZNF644	84146	2
HFM1	164045	2
CDC7	8317	2
CDC7	8317	2
TGFBR3	7049	2
TGFBR3	7049	2
BRDT	676	2
BRDT	676	2
EPHX4	253152	2
SETSIP	646817	2
BTBD8	284697	2
KIAA1107	23285	2
C1orf146	388649	2
RPAP2	79871	2
GLMN	11146	2
GFI1	2672	2
GFI1	2672	2
GFI1	2672	2
EVI5	7813	2
RPL5	6125	2
FAM69A	388650	2
FAM69A	388650	2
MTF2	22823	2
TMED5	50999	2
CCDC18	343099	2
LOC100131564	100131564	2
DR1	1810	2
FNBP1L	54874	2
LOC100129046	100129046	2
BCAR3	8412	2
BCAR3	8412	2
BCAR3	8412	2
BCAR3	8412	2
DNTTIP2	30836	2
GCLM	2730	2
ABCA4	24	2
ARHGAP29	9411	2
ABCD3	5825	2
F3	2152	2
LINC01057	101928079	2
SLC44A3	126969	2
SLC44A3	126969	2
CNN3	1266	2
CNN3	1266	2
LOC729970	729970	2
ALG14	199857	2
TMEM56	148534	2
TMEM56	148534	2
TMEM56-RWDD3	100527978	2
RWDD3	25950	2
FLJ31662	440594	2
LOC100996635	100996635	2
LOC101928241	101928241	2
PTBP2	58155	2
DPYD-AS1	100873932	2
DPYD-AS2	100873933	2
DPYD	1806	2
LOC729987	729987	2
SNX7	51375	2
LOC100129620	100129620	2
LPPR5	163404	2
LPPR4	9890	2
PALMD	54873	2
FRRS1	391059	2
AGL	178	2
AGL	178	2
AGL	178	2
AGL	178	2
SLC35A3	23443	2
